key;value
262897;Unavailable during combat.
4294967344;Kliff
4294967345;PHM_Description_Player_Kliff
4294967408;Copper
4294967409;The most common copper currency used throughout Pywel. As the primary means of trade, it is mainly used by commoners for daily necessities and minor sundries. Due to its low individual value, it is often circulated in large bundles for high-value transactions.
4294967410;Silver
4294967412;Silver minted currency that serves as the backbone of the Pywel economy. It is the standard unit for commercial trade and tax payments. Unlike copper coins, its value is guaranteed by the silver itself, making it widely used across all regions for major transactions such as merchant trading and recruiting freeswords.
4294967424;Currency
4294967442;Skills
4294967443;Various Combat Skills
4294967568;Continent of Pywel
4294967616;Axiom Bracelet Socket
4294967698;Weapon Skills: Sword
4294967936;acquired
4295230080;Package Provisions
4295230081;How many resources do you want to pack?
4295230193;Unavailable during combat.
8589934640;Yann
8589934641;PHM_Description_Player_001
8589934642;Comrade Found
8589934704;Pearl
8589934705;Currency
8589934738;People
8589934739;Inhabitants of Pywel
8589934864;Pailune
8589934912;Gear Socket
8589934994;Weapon Skills: Shield
8589935232;acquired
8590197376;Package
8590197377;How many do you want to package?
8590197489;Unavailable during combat.
8590459520;Donate Goods
8590459521;How many do you want to donate?
8590721664;Donate Goods
8590721665;How many do you want to donate?
8590983808;Donate Goods
8590983809;How many do you want to donate?
8591245952;Donate Goods
8591245953;How many do you want to donate?
8591508096;Donate Goods
8591508097;How many do you want to donate?
8591770240;Stow
8591770241;How many do you want to move?
8592032384;Stow
8592032385;How many do you want to store?
8592294528;Stow
8592294529;How many do you want to store?
12884902016;Camp Currency Item Group
12884902034;Abyss Gate
12884902160;Crimson Desert
12884902290;Weapon Skills: Bow
12884902528;acquired
12885164785;Unavailable during combat.
17179869232;Damiane
17179869233;PHW_Description_Player_001
17179869234;Comrade Found
17179869330;Creatures
17179869331;Creatures that live across Pywel
17179869456;Hernand
17179869586;Weapon Skills: Spear
17179869824;acquired
17180132081;Unavailable during combat.
21474836626;Gatherables
21474836627;Adventurer's Essentials
21474836752;Delesyia
21474837120;acquired
21475098832;You cannot possess more than one A.T.A.G.
21475099377;Unavailable during combat.
25769803824;Oongka
25769803825;PHM_Description_Player_001
25769803826;Comrade Found
25769803922;Territories
25769803923;Places in Pywel
25769804048;Demeniss
25769804416;acquired
25770066560;Move to Storage
25770066561;How many do you want to move?
25770066673;Unavailable during combat.
30064771218;Quests
30064771219;Endless Adventures and Stories
30064771344;Prohibited Region
30064771712;acquired
30065033424;You cannot possess more than one High-Mobility A.T.A.G.
30065033856;Move to Storage
30065033857;How many do you want to move?
30065033969;Unavailable during combat.
34359738514;Factions
34359738515;The Forces of Conflict and Strife
34359738640;Abyss
34359738770;Martial Arts
34359739008;Supply Chest Obtained
34360001152;Take Out
34360001153;How many do you want to move?
34360001265;Unavailable during combat.
38654705810;Collectibles
38654705811;The Little Things that Brighten the Journey
38654706066;Special Skills
38654706304;Storage Acquired
38654968448;Unpack
38654968449;How many packages do you want to unpack?
38654968561;Unavailable during combat.
38655230592;Unpack
38655230593;How many packages do you want to unpack?
38655492736;Unpack
38655492737;How many packages do you want to unpack?
38655754880;Unpack
38655754881;How many packages do you want to unpack?
38656017024;Move to Wagon
38656017025;How many do you want to move?
38656279168;Move to Horse Inventory
38656279169;How many do you want to move?
42949673106;Contents
42949673107;Vast World of Adventure
42949673362;Secondary Skills
42949673600;acquired
42949935744;Take Out
42949935745;How many do you want to move?
47244640368;Camp Funds
47244640369;Shared funds managed for the maintenance and operation of the camp. These are acquired by donating Silver or through comrade mission dispatch. As they are communal assets, they cannot be exchanged for personal currency.
47244640402;Bosses
47244640403;Bosses
47244640658;Weapon Skills: Greataxe
47244640896;Feed Bin is Filled
51539607648;Search
51539607664;Camp Food
51539607665;Food consumed by camp members. Secured through currency donations or by completing missions or dispatching comrades on missions. Used when sending comrades on missions.
51539607824;Tribal State of Pailune
51539607954;Weapon Skills: Blaster
51539608192;acquired
51539870336;Take Out
